"CODES","DESCRIPTION","YEAR","UNIT_1_CODES","UNIT_1_DESCRIPTION","UNIT_2_CODES","UNIT_2_DESCRIPTION",
01,"Live animals",2023,09,"Kilogram",?,"?",
02,"Meat and edible meat offal",2023,09,"Kilogram",?,"?",
03,"Fish and crustaceans, molluscs and other aquatic invertebrates",2023,09,"Kilogram",?,"?",
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2023,09,"Kilogram",?,"?",
05,"roducts of animal origin,not elsewhere specified or included",2023,09,"Kilogram",?,"?",
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",2023,?,"?",?,"?",
07,"Edible vegetables and certain roots and tubers",2023,09,"Kilogram",?,"?",
08,"Edible fruit and nuts; peel of citrus fruit or melons",2023,09,"Kilogram",?,"?",
09,"Coffee, tea, mat¨¦ and spices",2023,09,"Kilogram",?,"?",
10,"Cereals",2023,09,"Kilogram",?,"?",
11,"Products of the milling industry;malt;starches; inulin; wheat gluten",2023,09,"Kilogram",?,"?",
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",2023,09,"Kilogram",?,"?",
13,"Lac; gums, resins and other vegetable saps and extracts",2023,09,"Kilogram",?,"?",
14,"Vegetable plaiting materials; vegetable products not elsewhere specified or included",2023,09,"Kilogram",?,"?",
15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats;
animal or vegetable waxes",2023,09,"Kilogram",?,"?",
16,"Preparations of meat, of fish, crustaceans, molluscs or other aquatic invertebrates, or of insects",2023,09,"Kilogram",?,"?",
17,"Sugars and sugar confectionery",2023,09,"Kilogram",?,"?",
18,"Cocoa and cocoa preparations",2023,09,"Kilogram",?,"?",
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",2023,09,"Kilogram",?,"?",
20,"Preparations of vegetables, fruit, nuts or other parts of plants",2023,09,"Kilogram",?,"?",
21,"Miscellaneous edible preparations",2023,09,"Kilogram",?,"?",
22,"Beverages, spirits and vinegar",2023,?,"?",09,"Kilogram",
23,"Residues and waste from the food industries; prepared animal fodder",2023,09,"Kilogram",?,"?",
24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",2023,09,"Kilogram",?,"?",
25,"Salt; sulphur; earths and stone;plastering materials, lime and cement",2023,09,"Kilogram",?,"?",
26,"Ores, slag and ash",2023,09,"Kilogram",?,"?",
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",2023,?,"?",?,"?",
28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes",2023,?,"?",?,"?",
29,"Organic chemicals",2023,09,"Kilogram",?,"?",
30,"Pharmaceutical products",2023,09,"Kilogram",?,"?",
31,"Fertilisers",2023,09,"Kilogram",?,"?",
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes,",2023,09,"Kilogram",?,"?",
33,"Essential oils and resinoids; perfumery,",2023,09,"Kilogram",?,"?",
34,"Soap, organic surfaceactive agents, washing preparations,artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, ¡°dental waxes¡± and dental preparations with a basis of plaster",2023,09,"Kilogram",?,"?",
35,"Albuminoidal substances; modified starches;",2023,09,"Kilogram",?,"?",
36,"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations",2023,09,"Kilogram",?,"?",
37,"Photographic or cinematographic goods",2023,09,"Kilogram",?,"?",
38,"Miscellaneous chemical products",2023,09,"Kilogram",?,"?",
39,"Plastics and articles thereof",2023,09,"Kilogram",?,"?",
40,"Rubber and articles thereof",2023,09,"Kilogram",?,"?",
41,"Raw hides and skins (other than furskins) and leather",2023,09,"Kilogram",?,"?",
42,"Articles of leather; saddlery and harness;travel goods, handbags and similar containers; 
articles of animal gut (other than silkworm gut)",2023,09,"Kilogram",?,"?",
43,"Furskins and artificial fur; manufactures thereof",2023,09,"Kilogram",?,"?",
44,"Wood and articles of wood; wood charcoal",2023,09,"Kilogram",?,"?",
45,"Cork and articles of cork",2023,09,"Kilogram",?,"?",
46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",2023,09,"Kilogram",?,"?",
47,"Pulp of wood or of other fibrous cellulosic material;recovered (waste and scrap) paper or paperboard",2023,09,"Kilogram",?,"?",
48,"aper and paperboard; articles of paper pulp, of paper or of paperboard",2023,09,"Kilogram",?,"?",
49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",2023,09,"Kilogram",?,"?",
50,"ilk",2023,?,"?",?,"?",
51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",2023,?,"?",?,"?",
52,"Cotton",2023,?,"?",?,"?",
53,"Other vegetable textile fibres;paper yarn and woven fabrics of paper yarn",2023,?,"?",?,"?",
54,"Man-made filaments; strip and the like of man-made textile materials",2023,?,"?",?,"?",
55,"Man-made staple fibres",2023,?,"?",?,"?",
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",2023,09,"Kilogram",?,"?",
57,"Carpets and other textile floor coverings",2023,09,"Kilogram",05,"Square Metre",
58,"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery",2023,?,"?",?,"?",
59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable for industrial use",2023,09,"Kilogram",?,"?",
60,"Knitted or crocheted fabrics",2023,04,"Metre",09,"Kilogram",
61,"Articles of apparel and clothing accessories, knitted or crocheted",2023,?,"?",?,"?",
62,"Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.03.",2023,?,"?",?,"?",
63,"Other made up textile articles; sets;worn clothing and worn textile articles; rags",2023,?,"?",?,"?",
64,"Footwear, gaiters and the like; parts of such articles",2023,09,"Kilogram",?,"?",
65,"Headgear and parts thereof",2023,?,"?",?,"?",
66,"Umbrellas, sun umbrellas, walkingsticks, seatsticks,whips, ridingcrops and parts thereof",2023,09,"Kilogram",?,"?",
67,"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair",2023,09,"Kilogram",?,"?",
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",2023,09,"Kilogram",?,"?",
69,"Geramic products",2023,09,"Kilogram",?,"?",
70,"Glass and glassware",2023,09,"Kilogram",?,"?",
71,"Natural or cultured pearls, precious or semiprecious stones,precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2023,?,"?",?,"?",
72,"Iron and steel",2023,09,"Kilogram",?,"?",
73,"Articles of iron or steel",2023,09,"Kilogram",?,"?",
74,"Copper and articles thereof",2023,09,"Kilogram",?,"?",
75,"Nickel and articles thereof",2023,09,"Kilogram",?,"?",
76,"Aluminium and articles thereof",2023,09,"Kilogram",?,"?",
78,"Lead and articles thereof",2023,09,"Kilogram",?,"?",
79,"Zinc and articles thereof",2023,09,"Kilogram",?,"?",
80,"Tin and articles thereof",2023,09,"Kilogram",?,"?",
81,"Other base metals; cermets; articles thereof",2023,09,"Kilogram",?,"?",
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",2023,09,"Kilogram",?,"?",
83,"Miscellaneous articles of base metal",2023,09,"Kilogram",?,"?",
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",2023,?,"?",?,"?",
85,"Electrical machinery and equipment and parts thereof;sound recorders and reproducers,television image and sound recorders and reproducers, and parts and accessories of such articles",2023,?,"?",?,"?",
86,"Railway or tramway locomotives, rollingstock and parts thereof;railway or tramway track fixtures and fittings and parts thereof; mechanical (including electromechanical) traffic signalling equipment of all kinds",2023,?,"?",?,"?",
87,"Vehicles other than railway or tramway rollingstock, and parts and accessories thereof",2023,?,"?",?,"?",
88,"Aircraft, spacecraft, and parts thereof",2023,?,"?",?,"?",
89,"Ships, boats and floating structures",2023,?,"?",?,"?",
90,"Optical, photographic,cinematographic, measuring, checking,precision, medical or surgical instruments and apparatus; parts and accessories thereof",2023,?,"?",?,"?",
91,"Clocks and watches and parts thereof",2023,?,"?",?,"?",
92,"Musical instruments; parts and accessories of such articles",2023,?,"?",?,"?",
93,"Arms and ammunition; parts and accessories thereof",2023,?,"?",?,"?",
94,"Furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; luminaires and lighting 
fittings, not elsewhere specified or included; illuminated signs, illuminated nameplates and the like; prefabricated buildings ",2023,?,"?",?,"?",
95,"Toys, games and sports requisites;parts and accessories thereof",2023,?,"?",?,"?",
96,"Miscellaneous manufactured articles",2023,?,"?",?,"?",
97,"Works of art, collectors' pieces and antiques",2023,?,"?",?,"?",
98,"Commodities not classified accroding to kind",2023,?,"?",?,"?",
99,"Articles of B2B cross-border e-commerce in simplified customs procedures",2023,09,"Kilogram",?,"?",
