CODES,DESCRIPTION,YEAR,UNIT_1_CODES,UNIT_1_DESCRIPTION,UNIT_2_CODES,UNIT_2_DESCRIPTION
10121,Purebred breeding horses,2023,9,Kilogram,1,Number of item
10129,Other horses,2023,9,Kilogram,1,Number of item
10130,Asses,2023,9,Kilogram,1,Number of item
10190,Hinnies,2023,9,Kilogram,1,Number of item
10221,Purebred breeding cattle,2023,9,Kilogram,1,Number of item
10229,Other cattle,2023,9,Kilogram,1,Number of item
10231,Purebred breeding buffalo,2023,9,Kilogram,1,Number of item
10239,Other buffalo,2023,9,Kilogram,1,Number of item
10290,Other live bovine animals,2023,9,Kilogram,1,Number of item
10310,Purebred breeding swine,2023,9,Kilogram,1,Number of item
10391,"Other lives wine,weighing less than 50 kg",2023,9,Kilogram,1,Number of item
10392,"Other lives wine,weighing 50 kg or more",2023,9,Kilogram,1,Number of item
10410,Sheep,2023,9,Kilogram,1,Number of item
10420,Goats,2023,9,Kilogram,1,Number of item
10511,"Fowls of the species Gallus omesticus, weighing not more than 185 g",2023,9,Kilogram,1,Number of item
10512,Turkeys,2023,9,Kilogram,1,Number of item
10513,Ducks,2023,9,Kilogram,1,Number of item
10514,Geese,2023,9,Kilogram,1,Number of item
10515,Guinea fowls,2023,9,Kilogram,1,Number of item
10594,"Fowls of the species Gallus domesticus,weighing more than 185 g",2023,9,Kilogram,1,Number of item
10599,"Other ducks, geese, turkeys and guinea fowls(weighing more than 185 g)",2023,9,Kilogram,1,Number of item
10611,Primates,2023,9,Kilogram,1,Number of item
10612,"Whales, dolphins and porpoises (mammals of the order 
Cetacea); manatees and dugongs (mammals of the order 
Sirenia); seals, sea lions and walruses (mammals of the suborder 
Pinnipedia)",2023,9,Kilogram,1,Number of item
10613,Camels and other camelids (Camelidae),2023,9,Kilogram,1,Number of item
10614,Rabbits and hares,2023,9,Kilogram,1,Number of item
10619,Other mammals,2023,9,Kilogram,1,Number of item
