CODES,DESCRIPTION,UNIT_1_TAX,UNIT_2_TAX,UNIT_3_TAX,UNIT,WEIGHT,STD,IM_STD,EX_STD
1012100003,"Live horses, pure-bred breeding animals",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,401 B01 ,441 B01 
1012900005,Other live horses,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,B01 ,B01 
1013000002,Live asses,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,B01 ,B01 
1019000009,live mules and hinnies,2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,B01 ,B01 
1022100002,"Live cattle, pure-bred breeding animals",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,401 B01 ,441 B01 
1022900004,Other live cattle,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,,B01 MW0 ,B01 
1023100000,"Live buffalo, pure-bred breeding animals",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,401 B01 ,441 B01 
1023900002,Other live  buffalo,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,,B01 MW0 ,B01 
1029010006,"Other live bovine animals, pure-bred breeding animals",2.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,401 B01 ,441 B01 
1029090009,Other live bovine animals,5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,,B01 MW0 ,B01 
1031000004,"Live swine, pure-bred breeding animals",2.5 PERCENT,"0 PERCENT (LDCs,PA,GT,NI,SV,HN,NZ,SG)",2.5 PERCENT,HED,KGM,,401 B01,441 B01 
1039100006,"Live swine, weighing less than 50 kg, other than pure-bred breeding animals",5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,R ,B01 MW0,B01 
1039200005,"Live swine, weighing 50 kg or more, other than pure-bred breeding animals",5 PERCENT,"0 PERCENT (LDCs,PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,R ,B01 MW0,B01 
1041000003,Live sheep,8.5 PERCENT,"0 PERCENT (PA,GT,NI,SV,HN,NZ,SG)",10 PERCENT,HED,KGM,,B01,B01 
