HTS6,HTS_9,DESCRIPTION
000101,000,"Live horses, asses, mules and hinnies"
000101,000,Horses :
010121,000,Pure-bred breeding animals
010121,100,"1 Certified as being those other than Thoroughbred, Thoroughbred-grade, Arab, Anglo-Arab or Arab-grade horses (hereinafter referred to as ""light-breed horses"") in accordance with the provisions of the Cabinet Order for Enforcement of the Customs Tariff Law (hereinafter referred to as ""Cabinet Order"")"
010121,100,2 Other
010121,210,"(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order"
010121,290,(2) Other
010129,290,Other
010129,100,"1 Certified as being not ""light-breed horses"" in accordance with the provisions of a Cabinet Order"
010129,100,2 Other
010129,210,"(1) ""Light-breed horses"" certified as being those used for purposes other than horse-race and as being not pregnant in accordance with the provisions of a Cabinet Order"
010129,290,(2) Other
001013,000,Asses
001019,000,Other
000102,000,Live bovine animals
000102,000,Cattle :
010221,000,Pure-bred breeding animals
010229,000,Other
010229,100,1 Weighing not more than 300kg
010229,200,2 Other
010229,200,Buffalo :
010231,000,Pure-bred breeding animals
010239,000,Other
001029,000,Other
001029,100,1 Pure-bred breeding animals
001029,100,2 Other
001029,210,(1) Weighing not more than 300kg
001029,290,(2) Other
000103,290,Live swine
001031,000,Pure-bred breeding animals
001031,000,Other :
010391,000,Weighing less than 50 kg
010392,000,Weighing 50 kg or more
010392,110,"*1Per each, not more than the upper limit prices for the specific duty applied on live swine where the upper limit prices shall be obtained by subtracting Prices B from prices A, the same definition shall be applied in this heading
Prices A: standard import prices for live swine specified by the sub-paragraph 1 of paragraph 1 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading
Prices B: the prices specified by *1 in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law"
010392,120,"*2Per each, more than the upper limit prices for the specific duty applied on live swine, but not more than the gate prices where the gate prices shall be obtained by dividing Prices A by rates B plus 1,  the same definition shall be applied in this heading
Prices A: mentioned in *1
Rates B: the rates specified in this sub-heading *3 according to the each divisions of each import terms provided in the Annex 1-3-2"
010392,200,"*3Per each, more than the gate price of live swine, in value for customs duty"
000104,200,Live sheep and goats
001041,000,Sheep
001042,000,Goats
000105,000,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
000105,000,Weighing not more than 185 g
010511,000,Fowls of the species Gallus domesticus
010512,000,Turkeys
010513,000,Ducks
010514,000,Geese
010515,000,Guinea fowls
010515,000,Other
010594,000,Fowls of the species Gallus domesticus
010599,000,Other
000106,000,Other live animals
000106,000,Mammals :
010611,000,Primates
010612,000,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia);seals,sea lions and walruses(mammals of the suborder Pinnipedia)"
010612,100,"- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)"
010612,900,- Other
010613,000,Camels and other camelids (Camelidae)
010614,000,Rabbits and hares
010619,000,Other
010619,100,- Carnivores
010619,900,- Other
001062,900,Reptiles (including snakes and turtles)
001062,100,- Turtles and tortoises
001062,200,- Crocodiles and alligators
001062,200,- Squamata
001062,310,-- Lizards
001062,390,-- Other
001062,900,- Other
001062,900,Birds :
010631,000,Birds of prey
010632,000,"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,000,Ostriches; emus (Dromaius novaehollandiae)
010639,000,Other
010639,000,Insects :
010641,000,Bees
010649,000,Other
001069,000,Other
001069,000,- Amphibians
001069,110,-- Anura
001069,120,-- Caudata
001069,190,-- Other
001069,900,- Other
000201,900,"Meat of bovine animals, fresh or chilled"
002011,000,Carcasses and half-carcasses
002012,000,Other cuts with bone in
002013,000,Boneless
002013,100,- Loin
002013,200,"- Chuck, Clod and Round"
002013,300,- Brisket and plate
002013,900,- Other
000202,900,"Meat of bovine animals, frozen"
002021,000,Carcasses and half-carcasses
002022,000,Other cuts with bone in
002023,000,Boneless
002023,100,- Loin
002023,200,"- Chuck, Clod and Round"
002023,300,- Brisket and plate
002023,900,- Other
000203,900,"Meat of swine, fresh, chilled or frozen"
000203,900,Fresh or chilled :
020311,900,Carcasses and half-carcasses
020311,100,1 Of wild boars
020311,100,2 Other
020311,200,"*1Each kilogram, in value for customs duty, not more than the upper limit prices for the specific  duty applied on pig carcass, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading.
Prices A, standard import prices for pig carcass specified by the sub-paragraph 1 of paragraph 2 of Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading.
Prices B, the prices specified by *1 in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law"
020311,200,"*2Each kilogram, in value for customs duty, more than the upper limit prices for the specific duty applied on pig carcass, but not more than the gate prices of pig carcass, where the gate prices shall be obtained by dividing Prices A by rates B plus 1, the same definition shall be applied in this heading.
Prices A,mentioned in *1
Rates B, the rates specified by *3 in this sub-heading according to the each divisions of each import terms provided in the Annex 1-3-2"
020311,310,- Less than 299.25 yen/kg in value for customs duty
020311,320,- Not less than 299.25 yen/kg in value for customs duty
020311,400,"*3Each kilogram, more than the gate prices of pig carcass, in value for customs duty"
020312,400,"Hams, shoulders and cuts thereof, with bone in"
020312,100,1 Of wild boars
020312,100,2 Other
020312,230,"*1Each kilogram, in value for customs duty, not more than the upper limit prices for the specific duty applied on  partial pig, where the upper limit prices shall be obtained by substracting Prices B from Prices A, the same definition shall be applied in this heading and in heading 02.06.
Prices A, standard import prices for partial pig specified by the sub-paragraph 1 of paragraph 3 of Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading and in heading 02.06.
Prices B, the prices specified by *1 in this sub-heading each corresponding to the period of importation provided by the Annex 1-3 to the Law"
